speech_id;person;text;link
11;Michael Gahler (PPE);"Madam President, colleagues, Russia's brutal war of aggression takes place in Ukraine, but the ultimate target is our way of life. Deterring Russia from further aggression beyond Ukraine and protecting our citizens requires us to take a more common, a more European approach to defence. And the current US Administration, unfortunately, gives more and more the impression that they are – mentally at least – departing from the NATO framework, so the need is even more urgent.

The EU's first comprehensive defence industry programme, upon which we will vote today, marks an important first step in that direction. It will provide powerful tools for strengthening our defence industry, establish a framework for deeper cooperation of EU Member States for developing and maintaining joint capabilities, and improve our security of supply and strategic autonomy. It will also reinforce our cooperation with Ukraine, further supporting the country, but also allowing us to benefit from the hard lessons Ukraine had to learn in its brave, relentless fight for freedom.

However, EDIP's success will ultimately depend on Member States making full use of its potential, as well as on closing the gap between EDIP's high ambition and its very limited budget of EUR 1.5 billion. Achieving defence readiness by 2030 requires joint and bold steps now – not in 2028. Instead of national approaches driven by industrial policy considerations, we need a coordinated, strategic and sufficiently funded European approach, enabling our armed forces to act effectively together and making the most of European taxpayers' money.

Now is not the time to think 'Well, on the national level, now there is so much money available, let's look inward.' No – the opposite is necessary. Let us make use of the potential that we have here. Let's join forces. Let's make use of economies of scale and more interoperability to get the things right that we need to do now.
";https://www.europarl.europa.eu/doceo/document/CRE-10-2025-11-25-ITM-002_EN.html
12;Ana Toom (Renew);"Madam President, colleagues, the Treaty on European Union starts with the objective of creating an ever closer union, and continues in Article 2 with the shared values that this Union shall be based on, including freedom, equality, and respect for the rights of minorities.

Many of the citizens that voted for their countries to enter the Union after the 1990s did so with the hope that their countries and societies will converge to these European values.

What we are seeing in the Commission work programme is that the anti-discrimination directive – and many other measures for which we did not reach an agreement in five years – gets withdrawn.

This means that the Council gets handed the perfect weapon: if they ever think that we're asking for too much in the Parliament or in the Commission, they just need to drag their feet for long enough and then make the problem disappear.

In the meantime, the message we are sending to Europeans is clear: these values you hoped for will remain unreachable.

It is unacceptable that we allow a couple of holdout countries to prevent the adoption of European rules that deal with values central to the European project. We need to be looking immediately at another proposal for horizontal rules to combat discrimination.
";https://www.europarl.europa.eu/doceo/document/CRE-10-2025-03-10-ITM-019_EN.html
13;Hannah Neumann (Verts/ALE Group);"Madam President, dear colleagues, today we will adopt EDIP. And while the result is acceptable, the path to reach it explains all too well why we are once again in a mess when it comes to Ukraine.

Donald Trump has presented his 28-point 'peace plan'. Let's be clear: this is not a peace plan. It is a demand for capitulation designed to distract from the Epstein scandal closing in on him back home. And he appears perfectly ready to sacrifice Ukraine's security – and Europe's – in the process.

In Europe, our leverage over Trump is minimal because we remain dependent. Our defence industry is fragmented and we still lack key capabilities Ukraine urgently needs – from air defence to military intelligence. While, on the macro level, every head of state decries the lack of strategic autonomy, of European sovereignty, on the micro level, Member States still turn every attempt to fix this mess into an exercise in protecting national perks and business as usual. First SAFE, now EDIP: Member States are carving out loophole after loophole, instead of strengthening a truly European defence industry and working together to close capability gaps.

Dear colleagues in the Council, by the way, where are you? Strategic autonomy does not come from Sunday speeches. It comes from Monday to Friday actions.

I thank the rapporteurs and the colleagues who stood firm in the trilogue – because either we defend the European project together or there will be soon no more project to defend.
";https://www.europarl.europa.eu/doceo/document/CRE-10-2025-11-25-ITM-002_EN.html
14;Tobias Cremer (S&D);"Madam President, colleagues, honestly, I'm a bit sick of it. I'm sick of watching foreign leaders decide about the future of our continent, while our own leaders learn about it only from the newspapers. In international politics, you have a saying: 'if you aren't at the table, you're on the menu'. Unfortunately, right now it looks like Europe is on the menu.

But, colleagues, it doesn't need to be that way. We actually have enormous untapped potential in our continent. Our economy is 10 times bigger than that of Russia, for example. But our problem is that when it comes to defence, we have failed to translate this enormous potential into actual strength, into a language that bullies like Putin actually understand.

Instead, when it comes to defence, we continue to spend too little, too nationally and too inefficiently – wasting taxpayer money without getting a bang for our buck. EDIP is designed to change exactly that. It provides a concrete plan to make our Member States not just spend more, but better, smarter, and together on defence. It creates the conditions for a real European defence industry to emerge that delivers the capabilities we need and in a way that benefits citizens, and not just shareholders. EDIP can help turn Europe from an economic giant into a political superpower that can determine its own future.

Colleagues, I do not want our continent to be carved up over some Christmas dinner between Trump and Putin. So let's give ourselves the means to get our place at the table.
";https://www.europarl.europa.eu/doceo/document/CRE-10-2025-11-25-ITM-002_EN.html
15;Marc Botenga (The Left);"Madam President, Commissioner, dear colleagues, what nerve! All united, happy to celebrate here a text that tells workers they may have to work more than 13 hours a day, more than 48 hours a week. And all this for the military, in a sector where, thanks to the war in Ukraine, it's already a goldmine for bosses and shareholders.

Do you know what fatigue is like when you work in a dangerous industry, with explosives and toxic products? No, of course not. That this kind of idea comes from the right doesn't surprise me. You're always ready to sacrifice the interests of workers. But for the S&D group to support this, frankly, what a betrayal! Hand in hand with the right…

Mr. Glucksmann, don't make that face! Seriously? Yes, I know you'd go even further, you'd even send workers to their deaths. I understand perfectly well. When your French general said we should prepare to lose our children in the war, you applauded enthusiastically.

Well, listen, frankly, after four years of war in Ukraine, it's easy to give lessons from your armchair. Easy, isn't it? Why don't you go? Why are you sending the children of the workers? Go yourself! Go yourself instead of lecturing others, Mr. Glucksmann.

Frankly, we're getting a little tired of this contempt for workers here. Show some respect for people! You say you're defending Europe, but what are you actually doing? You're attacking European workers. No, we won't pay the price for your diplomatic failures, and we won't give in. We won't give up our social rights, Mr. Gahler. Enjoy your privileges here; the workers will make you pay.
";https://www.europarl.europa.eu/doceo/document/CRE-10-2025-11-25-ITM-002_EN.html
16;Marie Bjerre;"""Mr President, honourable Members, Commissioner, the debate on the promotion of EU digital rules is very much a debate on the protection of European sovereignty. I consider this both a very important and timely debate. Denmark took over the Presidency of the Council of the European Union at a time of rising uncertainty on the world stage. In the digital space, we see transatlantic tensions rising; both the US administration and private companies are questioning the EU's digital regulatory framework.
Our goals remain clear: first, to protect our citizens online, as we do offline. Second: to defend our autonomy in setting our own rules. The European Union is today a global leader in digital regulation. We have adopted groundbreaking legislation such as the Digital Services Act and the Digital Markets Act. Yet, with leadership comes responsibility not only to regulate, but also to ensure that regulation has a direct impact on people's lives.
The Digital Services Act aims to create a safe online environment for our citizens. Platforms have to remove illegal content and address the risk of disinformation and other harmful material. At the same time, the Digital Markets Act ensures that large platforms – the so-called gatekeepers – behave in a fair way online. Both of these acts set a high global benchmark. They establish clear obligations based on the importance of the online platform. In other words, bigger players have bigger responsibilities.
But these laws are now being contested. The US President has threatened tariffs against the EU. Large technology firms also resist. A recent example is Apple's call to scrap the Digital Markets Act. What I can say to these statements is that the rules apply regardless of the headquarters of the companies. They apply equally to companies of European, Chinese or US origin. To put it in short, the rules do not discriminate. They try to create a level playing field. Doing business in the EU is highly profitable for digital players. The single market is attractive for platforms, in particular for many US large online platforms and search engines. The cost of compliance with the DSA and the DMA is very low compared to the financial benefits of operating in the single market.
The EU has the sovereign right to regulate economic activities within its territory, in line with our own democratic values. We have always enforced and will continue to enforce our laws in a fair manner towards all companies operating in the EU. This is done in full compliance with global rules and in regular contact with online platforms. As in all other policy areas, we will continue to take the decisions we think are needed to ensure a fair and safe digital space. We count on the European Parliament as a counterpart in this effort.""";
17;Henna Virkkunen;"Mr President, honourable members, I remember very well when, in July 2022, this House approved two very groundbreaking laws; two laws that are crucial for our democracy and for our single market in the digital age – the Digital Services Act and the Digital Markets Act. Back then, this House confirmed both laws with an overwhelming majority, and in the Council both laws were agreed by all Member States. Over time, this House has also made very clear that it strongly supports the implementation of both laws. Today's discussion is a testament to that.European citizens and businesses have also signalled clearly that they want to see the DSA and DMA implemented effectively. Last month, President von der Leyen was crystal clear in her State of the Union speech here: when it comes to digital regulation, the EU sets its own standards and decides for itself. So, clearly, this Parliament, the Commission, our citizens and European businesses agree: we need the DSA and the DMA. We need the DSA because it protects our fundamental rights online, because it protects our children from online harm, because it protects our democratic processes, and because it protects us from illegal, unsafe and unsustainable products. The DMA is important because it opens the door to the next waves of innovation, it brings the power of choice back to consumers. The co-legislators gave the Commission a very strong mandate to enforce the DSA and DMA. Today, I can assure you that we are taking this duty very seriously. In April this year, we took the first two decisions under the DMA for Meta and Apple. We will not hesitate to take further action to ensure compliance. We also provided guidance to Apple to make interoperability a reality by the end of this year. Smartwatches, earbuds, speakers: no matter the brand everything will work seamlessly with your iPhones, just like Apple's own products. Under the DSA, we have already designated 25 platforms to whom we have addressed more than 150 requests for information, and we have opened proceedings in 14 cases, and have issued preliminary findings against providers of four very large online platforms. So workshops, roundtables, guidelines, work is ongoing all the time. We now have more than 250 staff enforcing DSM and DMA, and we are hiring 60 more to further strengthen our hard-working teams. We can already see many positive changes which have taken place thanks to these two laws. There is now much more transparency; thanks to the DSA, users can more easily exercise their rights. Many citizens have already used their right to complain when platforms are removing their content. As we can see on the DSA Transparency Database, social media platforms have reversed their removal decisions in 20–35% of those cases. So we have been empowering our users and citizens. Because of the DSA, users can also see now why content on online platforms is recommended to them and they can also opt out of personalised recommendations based on profiling. Under the DSA, we also, very recently in July, issued guidelines on the protection of minors. The scope and ambition of these guidelines are unparalleled globally, and now we are working with online platforms to make sure that they are changing their practices to also comply with these rules and following the guidelines, which very concretely state what kind of practices we are expecting from online platforms to make sure that our children have their safety, security and privacy ensured when they are using online services. Thanks to the DMA, Europeans can now choose the web browser they prefer and they also have better control over their own data. What is true for the DSA and DMA is also true for the application of our competition rules in the digital sphere. In September, we concluded that Google breached EU antitrust rules in the AdTech industry and fined it with EUR 2.95 billion. Google now has 60 days to present us with a viable solution. Structural remedies are likely to be the only way to cease Google's conflicts of interest in the industry on both sides of the Atlantic. We also received comprehensive commitments from Microsoft to address EU competition concerns relating to the Teams collaboration platform. This decision helps us to open crucial markets to competitors. Some of the very large online platforms and gatekeepers have called for the DSA and DMA to be repealed or reset. Some refer to non-existent free speech concerns to avoid respecting the DSA. Some pretend to speak on behalf of European consumers, arguing that the DMA is worsening their experience. Honourable members, you surely remember the similar strong lobbying when we – I was also a member of Parliament at that time – were shaping and adopting these two legislations. Some of the platforms and gatekeepers do not want to accept legislation that holds them accountable to their promises or legislation that opens up their walled gardens to offer opportunities for new innovators. Let me be clear: in Europe, we believe in the force of democratic rules, not in the rule of force. It is not up to the companies to decide whether to comply with our rules, and it is not up to them or the other countries to decide how we enforce our rules. Europe decides for itself.
";https://www.europarl.europa.eu/doceo/document/CRE-10-2025-10-08-ITM-011_EN.html
18;Axel Voss;"Mr. President, Madam Vice-President of the European Commission, dear colleagues! We must ask American companies whether they still have any interest in adhering to our rules. Because currently, that doesn't seem to be the case at all. Instead of cooperation, we are increasingly witnessing open questioning—and, in fact, disregard—of a European legal framework.   Then we must also ask ourselves whether this shouldn't have consequences for their activities in our single market. And Europe is not a regulatory space at will; we have something to offer, we have something to show for it, and we are the ones who want to combine values ​​with technology. Therefore, we should seriously consider imposing potentially harsher consequences if this attitude persists, for example, through a review or even, if necessary, a termination of transatlantic data exchange. I believe that's a threat that won't go unheard.    That's why we need to consider such things. We have something to offer as Europe, but it has to happen according to our rules. Therefore, we need a European strategy, new European speeds, the ability to scale, new intensities, new investments, and also to build up venture capital accordingly. Then we will have something to counter them.
";https://www.europarl.europa.eu/doceo/document/CRE-10-2025-10-08-ITM-011_EN.html
19;Alex Agius Saliba;"In any democracy, the rules must be applied fairly, equally to all, without any kind of exception. We know that European sovereignty is under threat in the digital sphere. After the great efforts, that this House made during the last legislature, to lead us forward and approve legislation, which was the first in the world, which put the European Union at the forefront of advancement when it comes to digital regulation such as DSA, DMA, AI Act, now is the time, that ultimately, we move to the next step and see that enforcement is done fairly and properly. Only then will our citizens have gotten back the results from this legislation, that we have worked so hard for, and only when Meta, Apple, X, TikTok, Google and others start respecting our rules, that we will finally arrive. And they need to do this by changing their traditional business model. So far they have changed very little and have done so often reluctantly and this is not just a situation of imposing fines. It is a situation where the European Commission must show that it does not agree with this kind of way in which these platforms are operating and ultimately it must do this in order to protect the laws of the European Union, our democracy. And despite the attacks of US President Donald Trump, violations must be met with sanctions without hesitation. These threats should, ultimately, trigger, as soon as possible, the anti-cohesion mechanism. That is why the Digital Omnibus, and here we must be very careful, should not be an exercise that turns back the clock, that sends a message that we are going to reduce the implementation of our regulation. Furthermore, it is also important that in this unprecedented situation that we are facing, where we have a number of digital attacks that are happening around us, in our airports and in the most vulnerable systems for our citizens, it is important that we reduce the dependence of our technologies from outside the European continent. And therefore strengthen our digital sovereignty as soon as possible.
";https://www.europarl.europa.eu/doceo/document/CRE-10-2025-10-08-ITM-011_EN.html
20;Virginie Joron;"Mr. President, Madam Vice-President, dear colleagues, today's debate concerns the promotion and protection of the European Union's digital sovereignty. How dare the Commission and the ""Macronists"" speak of European sovereignty here, when they are the ones who sold off Alstom, dismantled EDF-GDF, crushed Atos, and closed the Fessenheim nuclear power plant?   Macron bequeathed our health data to Microsoft. Under Macron, we also lost Technip, Lafarge, and even Doliprane. Brussels abandoned Nokia, chose Microsoft for its internal messaging system, and an American provider for its recruitment. This year, Brussels chose Amazon and Microsoft for its cloud services and, to a lesser extent, OVH. Why only to a lesser extent?   Stop preaching European preference, stop going to Washington to receive the holy water of the Atlantic Council or the anointing of Soros. The truth is, ever since Brexit and Trump, you're afraid of the people who no longer vote for you. Today, you want full regulatory powers to enforce censorship with the Digital Single Market regulation, and tomorrow, the control tower to monitor our private conversations, while we're still waiting for the text messages exchanged between Bourla and Ursula.   Gerard Miller's hypnosis and subsidized newspapers are over. The people have found their voice again thanks to social media. ""You are the media,"" Musk declared. And that's what bothers you? Macron shouting in Saarbrücken against digital platforms. A new Frankenstein-like Covid variant for this winter. But people aren't listening to you anymore. You use the pretext of protecting digital sovereignty only to censor and stifle a narrative that doesn't suit you. You killed the automotive industry. Who here can believe you want to save the digital industry?
";https://www.europarl.europa.eu/doceo/document/CRE-10-2025-10-08-ITM-011_EN.html
